CALENDAR_DATE,PRICE,QUANTITY,SELL_ID,SELL_CATEGORY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR,IS_LABOR_DAY
2012-01-01,12.73,22,2051,2,2012,New Year,1,0,24.8,0,0.0
2012-01-01,12.75,18,2052,2,2012,New Year,1,0,24.8,0,0.0
2012-01-01,12.6,30,2053,2,2012,New Year,1,0,24.8,0,0.0
2012-01-02,12.73,22,2051,2,2012,New Year,0,0,24.8,0,0.0
2012-01-02,12.75,16,2052,2,2012,New Year,0,0,24.8,0,0.0
2012-01-02,12.6,34,2053,2,2012,New Year,0,0,24.8,0,0.0
2012-01-03,12.73,26,2051,2,2012,New Year,0,0,32.0,1,0.0
2012-01-03,12.75,12,2052,2,2012,New Year,0,0,32.0,1,0.0
2012-01-03,12.6,28,2053,2,2012,New Year,0,0,32.0,1,0.0
2012-01-04,12.73,26,2051,2,2012,,0,0,32.0,1,0.0
2012-01-04,12.75,24,2052,2,2012,,0,0,32.0,1,0.0
2012-01-04,12.6,42,2053,2,2012,,0,0,32.0,1,0.0
2012-01-05,12.73,36,2051,2,2012,,0,0,24.8,0,0.0
2012-01-05,12.75,24,2052,2,2012,,0,0,24.8,0,0.0
2012-01-05,12.6,58,2053,2,2012,,0,0,24.8,0,0.0
2012-01-06,12.73,38,2051,2,2012,,0,0,23.0,0,0.0
2012-01-06,12.75,20,2052,2,2012,,0,0,23.0,0,0.0
2012-01-06,12.6,54,2053,2,2012,,0,0,23.0,0,0.0
2012-01-07,12.73,24,2051,2,2012,,1,0,26.6,0,0.0
2012-01-07,12.75,18,2052,2,2012,,1,0,26.6,0,0.0
2012-01-07,12.6,42,2053,2,2012,,1,0,26.6,0,0.0
2012-01-08,12.73,26,2051,2,2012,,1,0,26.6,0,0.0
2012-01-08,12.75,18,2052,2,2012,,1,0,26.6,0,0.0
2012-01-08,12.6,42,2053,2,2012,,1,0,26.6,0,0.0
2012-01-09,12.73,34,2051,2,2012,,0,0,23.0,0,0.0
2012-01-09,12.75,24,2052,2,2012,,0,0,23.0,0,0.0
2012-01-09,12.6,54,2053,2,2012,,0,0,23.0,0,0.0
2012-01-10,12.73,40,2051,2,2012,,0,0,24.8,0,0.0
2012-01-10,12.75,28,2052,2,2012,,0,0,24.8,0,0.0
2012-01-10,12.6,58,2053,2,2012,,0,0,24.8,0,0.0
2012-01-11,12.73,32,2051,2,2012,,0,0,21.2,0,0.0
2012-01-11,12.75,26,2052,2,2012,,0,0,21.2,0,0.0
2012-01-11,12.6,52,2053,2,2012,,0,0,21.2,0,0.0
2012-01-12,12.73,32,2051,2,2012,,0,0,24.8,0,0.0
2012-01-12,12.75,26,2052,2,2012,,0,0,24.8,0,0.0
2012-01-12,12.6,60,2053,2,2012,,0,0,24.8,0,0.0
2012-01-13,12.73,40,2051,2,2012,,0,0,26.6,0,0.0
2012-01-13,12.75,26,2052,2,2012,,0,0,26.6,0,0.0
2012-01-13,12.6,58,2053,2,2012,,0,0,26.6,0,0.0
2012-01-14,12.73,24,2051,2,2012,,1,0,23.0,0,0.0
2012-01-14,12.75,20,2052,2,2012,,1,0,23.0,0,0.0
2012-01-14,12.6,42,2053,2,2012,,1,0,23.0,0,0.0
2012-01-15,12.73,22,2051,2,2012,,1,0,32.0,1,0.0
2012-01-15,12.75,18,2052,2,2012,,1,0,32.0,1,0.0
2012-01-15,12.6,32,2053,2,2012,,1,0,32.0,1,0.0
2012-01-16,12.73,40,2051,2,2012,,0,0,23.0,0,0.0
2012-01-16,12.75,28,2052,2,2012,,0,0,23.0,0,0.0
2012-01-16,12.6,56,2053,2,2012,,0,0,23.0,0,0.0
2012-01-17,12.73,38,2051,2,2012,,0,0,23.0,0,0.0
2012-01-17,12.75,22,2052,2,2012,,0,0,23.0,0,0.0
2012-01-17,12.6,54,2053,2,2012,,0,0,23.0,0,0.0
2012-01-18,12.73,40,2051,2,2012,,0,0,23.0,0,0.0
2012-01-18,12.75,24,2052,2,2012,,0,0,23.0,0,0.0
2012-01-18,12.6,58,2053,2,2012,,0,0,23.0,0,0.0
2012-01-19,12.73,32,2051,2,2012,,0,0,24.8,0,0.0
2012-01-19,12.75,24,2052,2,2012,,0,0,24.8,0,0.0
2012-01-19,12.6,54,2053,2,2012,,0,0,24.8,0,0.0
2012-01-20,12.73,36,2051,2,2012,,0,0,26.6,0,0.0
2012-01-20,12.75,22,2052,2,2012,,0,0,26.6,0,0.0
2012-01-20,12.6,58,2053,2,2012,,0,0,26.6,0,0.0
2012-01-21,12.73,22,2051,2,2012,,1,0,26.6,0,0.0
2012-01-21,12.75,22,2052,2,2012,,1,0,26.6,0,0.0
2012-01-21,12.6,40,2053,2,2012,,1,0,26.6,0,0.0
2012-01-22,12.73,30,2051,2,2012,,1,0,24.8,0,0.0
2012-01-22,12.75,16,2052,2,2012,,1,0,24.8,0,0.0
2012-01-22,12.6,34,2053,2,2012,,1,0,24.8,0,0.0
2012-01-23,12.73,38,2051,2,2012,,0,0,23.0,0,0.0
2012-01-23,12.75,20,2052,2,2012,,0,0,23.0,0,0.0
2012-01-23,12.6,52,2053,2,2012,,0,0,23.0,0,0.0
2012-01-24,12.73,36,2051,2,2012,,0,0,24.8,0,0.0
2012-01-24,12.75,26,2052,2,2012,,0,0,24.8,0,0.0
2012-01-24,12.6,56,2053,2,2012,,0,0,24.8,0,0.0
2012-01-25,12.73,38,2051,2,2012,,0,0,23.0,0,0.0
2012-01-25,12.75,26,2052,2,2012,,0,0,23.0,0,0.0
2012-01-25,12.6,60,2053,2,2012,,0,0,23.0,0,0.0
2012-01-26,12.73,38,2051,2,2012,,0,0,24.8,0,0.0
2012-01-26,12.75,26,2052,2,2012,,0,0,24.8,0,0.0
2012-01-26,12.6,52,2053,2,2012,,0,0,24.8,0,0.0
2012-01-27,12.73,28,2051,2,2012,,0,0,32.0,1,0.0
2012-01-27,12.75,18,2052,2,2012,,0,0,32.0,1,0.0
2012-01-27,12.6,46,2053,2,2012,,0,0,32.0,1,0.0
2012-01-28,12.73,24,2051,2,2012,,1,0,32.0,1,0.0
2012-01-28,12.75,14,2052,2,2012,,1,0,32.0,1,0.0
2012-01-28,12.6,34,2053,2,2012,,1,0,32.0,1,0.0
2012-01-29,12.73,22,2051,2,2012,,1,0,23.0,0,0.0
2012-01-29,12.75,14,2052,2,2012,,1,0,23.0,0,0.0
2012-01-29,12.6,38,2053,2,2012,,1,0,23.0,0,0.0
2012-01-30,12.73,34,2051,2,2012,,0,0,28.4,0,0.0
2012-01-30,12.75,22,2052,2,2012,,0,0,28.4,0,0.0
2012-01-30,12.6,52,2053,2,2012,,0,0,28.4,0,0.0
2012-01-31,12.73,30,2051,2,2012,,0,0,32.0,1,0.0
2012-01-31,12.75,16,2052,2,2012,,0,0,32.0,1,0.0
2012-01-31,12.6,42,2053,2,2012,,0,0,32.0,1,0.0
2012-02-01,12.73,28,2051,2,2012,,0,0,32.0,1,0.0
2012-02-01,12.75,20,2052,2,2012,,0,0,32.0,1,0.0
2012-02-01,12.6,48,2053,2,2012,,0,0,32.0,1,0.0
2012-02-02,12.73,18,2051,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-02,12.75,18,2052,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-02,12.6,34,2053,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-03,12.73,20,2051,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-03,12.75,16,2052,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-03,12.6,32,2053,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-04,12.73,12,2051,2,2012,Luner New Year,1,0,32.0,1,0.0
2012-02-04,12.75,16,2052,2,2012,Luner New Year,1,0,32.0,1,0.0
2012-02-04,12.6,20,2053,2,2012,Luner New Year,1,0,32.0,1,0.0
2012-02-05,12.73,12,2051,2,2012,Luner New Year,1,0,32.0,1,0.0
2012-02-05,12.75,8,2052,2,2012,Luner New Year,1,0,32.0,1,0.0
2012-02-05,12.6,28,2053,2,2012,Luner New Year,1,0,32.0,1,0.0
2012-02-06,12.73,26,2051,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-06,12.75,12,2052,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-06,12.6,32,2053,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-07,12.73,18,2051,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-07,12.75,18,2052,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-07,12.6,30,2053,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-08,12.73,20,2051,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-08,12.75,16,2052,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-08,12.6,30,2053,2,2012,Luner New Year,0,0,32.0,1,0.0
2012-02-09,12.73,28,2051,2,2012,,0,0,32.0,1,0.0
2012-02-09,12.75,16,2052,2,2012,,0,0,32.0,1,0.0
2012-02-09,12.6,42,2053,2,2012,,0,0,32.0,1,0.0
2012-02-10,12.73,26,2051,2,2012,,0,0,32.0,1,0.0
2012-02-10,12.75,20,2052,2,2012,,0,0,32.0,1,0.0
2012-02-10,12.6,44,2053,2,2012,,0,0,32.0,1,0.0
2012-02-11,12.73,26,2051,2,2012,,1,0,24.8,0,0.0
2012-02-11,12.75,14,2052,2,2012,,1,0,24.8,0,0.0
2012-02-11,12.6,40,2053,2,2012,,1,0,24.8,0,0.0
2012-02-12,12.73,26,2051,2,2012,,1,0,24.8,0,0.0
2012-02-12,12.75,16,2052,2,2012,,1,0,24.8,0,0.0
2012-02-12,12.6,34,2053,2,2012,,1,0,24.8,0,0.0
2012-02-13,12.73,30,2051,2,2012,,0,0,32.0,1,0.0
2012-02-13,12.75,16,2052,2,2012,,0,0,32.0,1,0.0
2012-02-13,12.6,46,2053,2,2012,,0,0,32.0,1,0.0
2012-02-14,12.73,32,2051,2,2012,,0,0,32.0,1,0.0
2012-02-14,12.75,18,2052,2,2012,,0,0,32.0,1,0.0
2012-02-14,12.6,44,2053,2,2012,,0,0,32.0,1,0.0
2012-02-15,12.73,30,2051,2,2012,,0,0,32.0,1,0.0
2012-02-15,12.75,16,2052,2,2012,,0,0,32.0,1,0.0
2012-02-15,12.6,48,2053,2,2012,,0,0,32.0,1,0.0
2012-02-16,12.73,32,2051,2,2012,,0,0,32.0,1,0.0
2012-02-16,12.75,16,2052,2,2012,,0,0,32.0,1,0.0
2012-02-16,12.6,42,2053,2,2012,,0,0,32.0,1,0.0
2012-02-17,12.73,26,2051,2,2012,,0,0,32.0,1,0.0
2012-02-17,12.75,18,2052,2,2012,,0,0,32.0,1,0.0
2012-02-17,12.6,42,2053,2,2012,,0,0,32.0,1,0.0
2012-02-18,12.73,18,2051,2,2012,,1,0,32.0,1,0.0
2012-02-18,12.75,16,2052,2,2012,,1,0,32.0,1,0.0
2012-02-18,12.6,30,2053,2,2012,,1,0,32.0,1,0.0
2012-02-19,12.73,26,2051,2,2012,,1,0,37.4,1,0.0
2012-02-19,12.75,16,2052,2,2012,,1,0,37.4,1,0.0
2012-02-19,12.6,28,2053,2,2012,,1,0,37.4,1,0.0
2012-02-20,12.73,26,2051,2,2012,,0,0,37.4,1,0.0
2012-02-20,12.75,20,2052,2,2012,,0,0,37.4,1,0.0
2012-02-20,12.6,44,2053,2,2012,,0,0,37.4,1,0.0
2012-02-21,12.73,26,2051,2,2012,,0,0,39.2,1,0.0
2012-02-21,12.75,20,2052,2,2012,,0,0,39.2,1,0.0
2012-02-21,12.6,44,2053,2,2012,,0,0,39.2,1,0.0
2012-02-22,12.73,30,2051,2,2012,,0,0,39.2,1,0.0
2012-02-22,12.75,20,2052,2,2012,,0,0,39.2,1,0.0
2012-02-22,12.6,44,2053,2,2012,,0,0,39.2,1,0.0
2012-02-23,12.73,30,2051,2,2012,,0,0,42.8,1,0.0
2012-02-23,12.75,22,2052,2,2012,,0,0,42.8,1,0.0
2012-02-23,12.6,46,2053,2,2012,,0,0,42.8,1,0.0
2012-02-24,12.73,28,2051,2,2012,,0,0,39.2,1,0.0
2012-02-24,12.75,24,2052,2,2012,,0,0,39.2,1,0.0
2012-02-24,12.6,46,2053,2,2012,,0,0,39.2,1,0.0
2012-02-25,12.73,22,2051,2,2012,,1,0,37.4,1,0.0
2012-02-25,12.75,12,2052,2,2012,,1,0,37.4,1,0.0
2012-02-25,12.6,36,2053,2,2012,,1,0,37.4,1,0.0
2012-02-26,12.73,22,2051,2,2012,,1,0,32.0,1,0.0
2012-02-26,12.75,14,2052,2,2012,,1,0,32.0,1,0.0
2012-02-26,12.6,30,2053,2,2012,,1,0,32.0,1,0.0
2012-02-27,12.73,30,2051,2,2012,,0,0,30.2,1,0.0
2012-02-27,12.75,20,2052,2,2012,,0,0,30.2,1,0.0
2012-02-27,12.6,50,2053,2,2012,,0,0,30.2,1,0.0
2012-02-28,12.73,26,2051,2,2012,,0,0,33.8,1,0.0
2012-02-28,12.75,22,2052,2,2012,,0,0,33.8,1,0.0
2012-02-28,12.6,42,2053,2,2012,,0,0,33.8,1,0.0
2012-03-01,12.73,32,2051,2,2012,,0,0,33.8,1,0.0
2012-03-01,12.75,20,2052,2,2012,,0,0,33.8,1,0.0
2012-03-01,12.6,50,2053,2,2012,,0,0,33.8,1,0.0
2012-03-02,12.73,34,2051,2,2012,,0,0,35.6,1,0.0
2012-03-02,12.75,24,2052,2,2012,,0,0,35.6,1,0.0
2012-03-02,12.6,46,2053,2,2012,,0,0,35.6,1,0.0
2012-03-03,12.73,26,2051,2,2012,,1,0,35.6,1,0.0
2012-03-03,12.75,12,2052,2,2012,,1,0,35.6,1,0.0
2012-03-03,12.6,30,2053,2,2012,,1,0,35.6,1,0.0
2012-03-04,12.73,26,2051,2,2012,,1,0,41.0,1,0.0
2012-03-04,12.75,18,2052,2,2012,,1,0,41.0,1,0.0
2012-03-04,12.6,28,2053,2,2012,,1,0,41.0,1,0.0
2012-03-05,12.73,34,2051,2,2012,,0,0,44.6,1,0.0
2012-03-05,12.75,22,2052,2,2012,,0,0,44.6,1,0.0
2012-03-05,12.6,46,2053,2,2012,,0,0,44.6,1,0.0
2012-03-06,12.73,26,2051,2,2012,,0,0,39.2,1,0.0
2012-03-06,12.75,16,2052,2,2012,,0,0,39.2,1,0.0
2012-03-06,12.6,44,2053,2,2012,,0,0,39.2,1,0.0
2012-03-07,12.73,34,2051,2,2012,,0,0,39.2,1,0.0
2012-03-07,12.75,24,2052,2,2012,,0,0,39.2,1,0.0
2012-03-07,12.6,44,2053,2,2012,,0,0,39.2,1,0.0
2012-03-08,12.73,28,2051,2,2012,,0,0,39.2,1,0.0
2012-03-08,12.75,20,2052,2,2012,,0,0,39.2,1,0.0
2012-03-08,12.6,42,2053,2,2012,,0,0,39.2,1,0.0
2012-03-09,12.73,34,2051,2,2012,,0,0,41.0,1,0.0
2012-03-09,12.75,20,2052,2,2012,,0,0,41.0,1,0.0
2012-03-09,12.6,44,2053,2,2012,,0,0,41.0,1,0.0
2012-03-10,12.73,22,2051,2,2012,,1,0,46.4,1,0.0
2012-03-10,12.75,18,2052,2,2012,,1,0,46.4,1,0.0
2012-03-10,12.6,28,2053,2,2012,,1,0,46.4,1,0.0
2012-03-11,12.73,20,2051,2,2012,,1,0,50.0,1,0.0
2012-03-11,12.75,18,2052,2,2012,,1,0,50.0,1,0.0
2012-03-11,12.6,34,2053,2,2012,,1,0,50.0,1,0.0
2012-03-12,12.73,34,2051,2,2012,,0,0,55.4,1,0.0
2012-03-12,12.75,20,2052,2,2012,,0,0,55.4,1,0.0
2012-03-12,12.6,50,2053,2,2012,,0,0,55.4,1,0.0
2012-03-13,12.73,28,2051,2,2012,,0,0,50.0,1,0.0
2012-03-13,12.75,16,2052,2,2012,,0,0,50.0,1,0.0
2012-03-13,12.6,44,2053,2,2012,,0,0,50.0,1,0.0
2012-03-14,12.73,28,2051,2,2012,,0,0,41.0,1,0.0
2012-03-14,12.75,20,2052,2,2012,,0,0,41.0,1,0.0
2012-03-14,12.6,42,2053,2,2012,,0,0,41.0,1,0.0
2012-03-15,12.73,26,2051,2,2012,,0,0,37.4,1,0.0
2012-03-15,12.75,18,2052,2,2012,,0,0,37.4,1,0.0
2012-03-15,12.6,46,2053,2,2012,,0,0,37.4,1,0.0
2012-03-16,12.73,32,2051,2,2012,,0,0,42.8,1,0.0
2012-03-16,12.75,16,2052,2,2012,,0,0,42.8,1,0.0
2012-03-16,12.6,46,2053,2,2012,,0,0,42.8,1,0.0
2012-03-17,12.73,22,2051,2,2012,,1,0,50.0,1,0.0
2012-03-17,12.75,20,2052,2,2012,,1,0,50.0,1,0.0
2012-03-17,12.6,28,2053,2,2012,,1,0,50.0,1,0.0
2012-03-18,12.73,20,2051,2,2012,,1,0,44.6,1,0.0
2012-03-18,12.75,18,2052,2,2012,,1,0,44.6,1,0.0
2012-03-18,12.6,30,2053,2,2012,,1,0,44.6,1,0.0
2012-03-19,12.73,30,2051,2,2012,,0,0,46.4,1,0.0
2012-03-19,12.75,22,2052,2,2012,,0,0,46.4,1,0.0
2012-03-19,12.6,50,2053,2,2012,,0,0,46.4,1,0.0
2012-03-20,12.73,30,2051,2,2012,,0,0,44.6,1,0.0
2012-03-20,12.75,16,2052,2,2012,,0,0,44.6,1,0.0
2012-03-20,12.6,42,2053,2,2012,,0,0,44.6,1,0.0
2012-03-21,12.73,28,2051,2,2012,,0,0,37.4,1,0.0
